Benchmarking with:Timeout 900 seconds 
Model path: ./data/models_nnet/neurify/mnist50.nnet 

Benchmarking with epsilon = 1: 

Final result of input 0: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.17 seconds
Time spent in solver: 1179.774114370346
Total number of images verified as safe: 78
Safe images: [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 50, 51, 52, 53, 54, 55, 56, 57, 58, 60, 61, 62, 63, 64, 65, 67, 69, 70, 71, 72, 73, 75, 76, 77, 78, 79, 83, 84, 86, 87, 88, 90, 91, 92, 93, 94, 95, 97, 98]
Total number of images verified as unsafe: 22
Unsafe images: [3, 12, 13, 17, 21, 28, 31, 40, 47, 48, 49, 59, 66, 68, 74, 80, 81, 82, 85, 89, 96, 99]
Total number of images timed-out: 0
Timed-out images: []
Total number of images with underflow: 0
Underflow images: []

Benchmarking with epsilon = 10: 

Final result of input 0: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 1: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 2: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 3: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 4: Status.Safe, branches explored: 425, max depth: 13, time spent: 3.40 seconds
Final result of input 5: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 6: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 7: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 8: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 9: Status.Safe, branches explored: 9597, max depth: 18, time spent: 82.15 seconds
Final result of input 10: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 11: Status.Undecided, branches explored: 64643, max depth: 43, time spent: 900.04 seconds
Final result of input 12: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 13: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 14: Status.Safe, branches explored: 105, max depth: 8, time spent: 0.86 seconds
Final result of input 15: Status.Undecided, branches explored: 67878, max depth: 37, time spent: 900.07 seconds
Final result of input 16: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 17: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 18: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 19: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 20: Status.Safe, branches explored: 755, max depth: 21, time spent: 5.91 seconds
Final result of input 21: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 22: Status.Undecided, branches explored: 59071, max depth: 38, time spent: 900.06 seconds
Final result of input 23: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 24: Status.Safe, branches explored: 221, max depth: 10, time spent: 2.29 seconds
Final result of input 25: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 26: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 27: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 28: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 29: Status.Safe, branches explored: 1877, max depth: 27, time spent: 21.43 seconds
Final result of input 30: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 31: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 32: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 33: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 34: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 35: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 36: Status.Undecided, branches explored: 68409, max depth: 30, time spent: 900.07 seconds
Final result of input 37: Status.Safe, branches explored: 59277, max depth: 31, time spent: 663.67 seconds
Final result of input 38: Status.Safe, branches explored: 31551, max depth: 31, time spent: 324.65 seconds
Final result of input 39: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 40: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 41: Status.Safe, branches explored: 18509, max depth: 34, time spent: 196.01 seconds
Final result of input 42: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 43: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 44: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 45: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 46: Status.Safe, branches explored: 363, max depth: 10, time spent: 2.95 seconds
Final result of input 47: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 48: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 49: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 50: Status.Safe, branches explored: 3327, max depth: 19, time spent: 26.08 seconds
Final result of input 51: Status.Safe, branches explored: 1035, max depth: 13, time spent: 7.84 seconds
Final result of input 52: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 53: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 54: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 55: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 56: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.06 seconds
Final result of input 57: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 58: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 59: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 60: Status.Safe, branches explored: 877, max depth: 24, time spent: 8.10 seconds
Final result of input 61: Status.Safe, branches explored: 113, max depth: 7, time spent: 0.74 seconds
Final result of input 62: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
Final result of input 63: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 64: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 65: Status.Safe, branches explored: 15993, max depth: 18, time spent: 148.32 seconds
Final result of input 66: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 67: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 68: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 69: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 70: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 71: Status.Safe, branches explored: 3, max depth: 1, time spent: 0.14 seconds
Final result of input 72: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 73: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 74: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 75: Status.Safe, branches explored: 5, max depth: 2, time spent: 0.12 seconds
Final result of input 76: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
Final result of input 77: Status.Safe, branches explored: 15, max depth: 4, time spent: 0.19 seconds
Final result of input 78: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 79: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 80: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 81: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 82: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 83: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 84: Status.Safe, branches explored: 815, max depth: 14, time spent: 7.18 seconds
Final result of input 85: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 86: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 87: Status.Safe, branches explored: 3693, max depth: 33, time spent: 46.24 seconds
Final result of input 88: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 89: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 90: Status.Undecided, branches explored: 54055, max depth: 41, time spent: 900.07 seconds
Final result of input 91: Status.Safe, branches explored: 3363, max depth: 19, time spent: 28.84 seconds
Final result of input 92: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 93: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 94: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 95: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 96: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 97: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 98: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 99: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds


Benchmarking with epsilon = 15: 

Final result of input 0: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.17 seconds
Final result of input 1: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 2: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 3: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 4: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 5: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 6: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 7: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 8: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 9: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 10: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 11: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 12: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 13: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 14: Status.Undecided, branches explored: 54054, max depth: 35, time spent: 900.04 seconds
Final result of input 15: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 16: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 17: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 18: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 19: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 20: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 21: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 22: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 23: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 24: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 25: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 26: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 27: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 28: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 29: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 30: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 31: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 32: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 33: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 34: Status.Safe, branches explored: 3337, max depth: 21, time spent: 34.26 seconds
Final result of input 35: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 36: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 37: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 38: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 39: Status.Safe, branches explored: 1377, max depth: 15, time spent: 11.98 seconds
Final result of input 40: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 41: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 42: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 43: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 44: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 45: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 46: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 47: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 48: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 49: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 50: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 51: Status.Undecided, branches explored: 55773, max depth: 43, time spent: 900.06 seconds
Final result of input 52: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 53: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 54: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 55: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 56: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 57: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 58: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 59: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 60: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 61: Status.Undecided, branches explored: 53139, max depth: 31, time spent: 900.06 seconds
Final result of input 62: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 63: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 64: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 65: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 66: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 67: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 68: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 69: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 70: Status.Safe, branches explored: 167, max depth: 11, time spent: 1.48 seconds
Final result of input 71: Status.Undecided, branches explored: 73767, max depth: 29, time spent: 900.04 seconds
Final result of input 72: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 73: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 74: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 75: Status.Undecided, branches explored: 71572, max depth: 33, time spent: 900.09 seconds
Final result of input 76: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 77: Status.Undecided, branches explored: 64181, max depth: 43, time spent: 900.05 seconds
Final result of input 78: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 79: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 80: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 81: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 82: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 83: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 84: Status.Undecided, branches explored: 61071, max depth: 30, time spent: 900.03 seconds
Final result of input 85: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 86: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 87: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 88: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 89: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 90: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 91: Status.Undecided, branches explored: 52360, max depth: 43, time spent: 900.07 seconds
Final result of input 92: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 93: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 94: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 95: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 96: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 97: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 98: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 99: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds

Time spent in solver: 7250.145995616913
Total number of images verified as safe: 3
Safe images: [34, 39, 70]
Total number of images verified as unsafe: 89
Unsafe images: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 62, 63, 64, 65, 66, 67, 68, 69, 72, 73, 74, 76, 78, 79, 80, 81, 82, 83, 85, 86, 87, 88, 89, 90, 92, 93, 94, 95, 96, 97, 98, 99]
Total number of images timed-out: 8
Timed-out images: [14, 51, 61, 71, 75, 77, 84, 91]
Total number of images with underflow: 0
Underflow images: []
